district,variety_id,available,supplier,availability_note
Busia,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Butaleja,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Dokolo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Gulu,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Hoima,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Ibanda,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Iganga,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Isingiro,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Jinja,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kaabong,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kabale,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kabarole,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kaberamaido,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kalangala,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kaliro,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kampala,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kamuli,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kamwenge,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kanungu,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kapchorwa,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kasese,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Katakwi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kayunga,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kibaale,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kiboga,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kiruhura,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kisoro,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kitgum,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Koboko,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kotido,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kumi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Kyenjojo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Lira,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Luwero,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Lyantonde,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Manafwa,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Masaka,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Masindi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mayuge,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mbale,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mbarara,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mityana,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Moroto,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Moyo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mpigi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mubende,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Mukono,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Nakapiripirit,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Nakaseke,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Nakasongola,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Namutumba,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Nebbi,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Ntungamo,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Nyadri,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
Oyam,NARO/2016/BEN/035,yes,Pearl Seeds; Syova,2 licensed seed company(ies) listed nationally
